"year","country","population","gdp","per_capita_gdp"
1870,"Uganda",1697.225,508.7781,312.9471
1870,"Uruguay",343,748,2180.758
1870,"Venezuela",1653,941,569.268
1870,"Vietnam",10528,5321,505.4141
1870,"W.Bank.and.Gaza",429,322,750.5828
1870,"X24.Sm.E.Asia",1903,1018,534.9448
1870,"Yemen",2840,480.3458,470.2813
1870,"Zaire",4170.637,1037.063,259.5881
1870,"Zambia",784.7169,226.3496,301.1263
1870,"Zimbabwe",876.9744,268.2975,319.3829
1870,"canada",3781,6407,1694.52525786829
1870,"usa",40240.6295,98374,2444.64366542775
1871,"Afghanistan",4242.41860465116,638.31475375,336.65511375
1871,"Algeria",3816.02325581395,2785.93023255814,725.46843255814
1871,"Angola",1301.2837875,627.8732225,486.39243625
1871,"Argentina",1875,2599.44455,1352.69355
1871,"Australia",1675,5525,3298.507
1871,"Austria",4562,9028.635,1979.0957913196
1871,"Bahrain",34.1579715,29.35586025,1098.8264625
1871,"Bangladesh",13576.91725,3005.83297435897,281.71920375
1871,"Belgium",5137,13779.822,2682.46486276037
1871,"Benin",528.60828,262.76770125,501.100565
1871,"Bolivia",1501.7,348.143144,461.095842666667
1871,"Botswana",136.02275875,21.746040625,161.159385
1871,"Brazil",9980,7154,716.8337
1871,"Burkina.Faso",1382.9912375,300.9136575,219.3356575
1871,"Burma",4407.2,2306.51612903226,510.179303225806
1871,"Burundi",746.62390625,123.34851,166.5401625
1871,"Cambodia",2356.97674418605,261.76371625,251.66089125
1871,"Cameroon",1544.617125,475.41130125,310.2669225
1871,"Cape.Verde",46.267498,9.543463775,207.9299175
1871,"Central.Africa.Republic",398.13762125,140.91918125,356.7992525
1871,"Chad",824.1289225,179.765095,219.88585
1871,"Chile",1974.998,2515.337,1273.589
1871,"China",358988,190521.95,530.523555
1871,"Colombia",2440.85,1437.25036666667,514.38166
1871,"Comoro.Islands",46.790208125,12.0264465,259.10111
1871,"Congo",261.13676625,143.5349625,554.0851425
1871,"Costa.Rica",142.333333333333,104.049361,478.01212
1871,"Cote.d.Ivoire",903.93209875,431.611775,481.33166375
1871,"Cuba",1341.9,734.665,493.614384745763
1871,"Denmark",1903,3792.75,1993.0373095113
1871,"Djibouti",18.973073875,13.05165525,693.449305
1871,"Dominican.Rep.",251.1,159.5188525,247.6495125
1871,"Ecuador",1025.9,380.821930434783,444.020568115942
1871,"Egypt",7167.48837209302,4721.3023255814,654.62671627907
1871,"El.Salvador",501.133333333333,175.229102,356.538088
1871,"Equatorial.Guinea",66.7464565,16.526798,249.6016225
1871,"Eritrea.and.Ethiopia",6818.9664625,1220.179775,180.38164125
1871,"Finland",1786,2012.535,1126.83930571109
1871,"France",37731,71666.544,1899.40748986245
1871,"Gabon",131.39415625,187.3559025,1437.402575
1871,"Gambia",85.76029725,23.894259375,280.86273625
1871,"Germany",39456,71674.264,1816.56184103812
1871,"Ghana",1589.79069767442,713.976744186047,446.83491627907
1871,"Guatemala",1087.33333333333,369.4496,498.617684
1871,"Guinea",817.0941975,113.6926325,140.26430875
1871,"Guinea.Bissau",181.16897875,24.0308255,133.7124975
1871,"Haiti",1163.66666666667,214.813354666667,253.991693333333
1871,"Honduras",407.2,118.204646,323.540594
1871,"Hong.Kong",127.55,96.5348837209302,696.795032558139
1871,"India",253417,135705.357142857,534.372621428571
1871,"Indonesia",33067.67,19021,575.2144
1871,"Iran",8474.97674418605,6164.97674418605,725.490148837209
1871,"Iraq",1604.02325581395,1170.3488372093,725.522479069767
1871,"Israel",382.54638,440.1299225,1471.03635
1871,"Italy",28063,42272.2974269177,1506.33565288521
1871,"Jamaica",506.366666666667,272.627906976744,536.769034883721
1871,"Japan",34648,25709,742.0053
1871,"Jordan",267.906976744186,194.651162790698,724.602190697674
1871,"Kenya",1934.4674125,577.34299625,300.856445
1871,"Kuwait",43.061529625,507.83418375,15078.5256375
1871,"Laos",769.697674418605,140.41708,320.04387875
1871,"Lebanon",480.023255813953,413.023255813953,856.287360465116
1871,"Lesotho",229.49408875,37.41150425,164.33136
1871,"Liberia",260.37098875,125.98051,487.75062
1871,"Libya",303.7996525,119.4568675,396.37897375
1871,"Madagascar",1460.1891375,637.01859,439.77434375
1871,"Malawi",890.12545375,132.32086,149.85260125
1871,"Malaysia",839.25,575.024390243902,665.873387804878
1871,"Mali",1165.403225,244.24830375,211.2721
1871,"Mauritania",317.79651,67.631309,214.5287225
1871,"Mauritius",152.0949725,173.7119875,1151.335075
1871,"Mexico",9331,6496.3,690.89901
1871,"Mongolia",669.325581395349,41.177672875,227.35268875
1871,"Morocco",3807.04651162791,2160.97674418605,566.453027906977
1871,"Mozambique",1975.3175125,1027.03574,524.12588875
1871,"Namibia",146.551505,145.19186875,998.70915
1871,"Nepal",4722.7,1892.3023255814,400.278513953488
1871,"Netherlands",3636,9942,2734.32343234323
1871,"New.Zealand",306,965.427,3154.99
1871,"Nicaragua",341.7,110.413958,391.987058
1871,"Niger",1033.751525,292.6044175,285.33271
1871,"Nigeria",10048.734725,3469.605825,348.0612725
1871,"North.Korea",4519.97674418605,2760.62790697674,610.247011627907
1871,"Norway",1745,2401.2741574492,1376.08834237777
1871,"Oman",368.790697674419,36.9793245,325.34468625
1871,"Pakistan",11733.46975,3064.17462820513,335.74851125
1871,"Panama",178.9,113.732238933333,465.955613333333
1871,"Paraguay",385.866666666667,154.702857971015,389.045947826087
1871,"Peru",2643,992.353076923077,535.2912
1871,"Philippines",5133.65,3220.25,625.463946875
1871,"Portugal",4353,4061,932.919825407765
1871,"Puerto.Rico",655.466666666667,313.95367625,517.06547125
1871,"Qatar",7.466033425,92.6494525,15866.4362625
1871,"Rwanda",770.93060875,193.41159875,252.903105
1871,"Sao.Tome.and.Principe",18.8763745,7.1036219,379.35709375
1871,"Saudi.Arabia",2345.86046511628,1045.87814,1164.7795
1871,"Senegal",838.62454125,484.30162625,582.15052875
1871,"Seychelles",10.398279875,9.121489525,884.2827475
1871,"Sierra.Leone",659.56854875,198.56341125,303.47721125
1871,"Singapore",87.65,65.5720930232558,696.014874418605
1871,"Somalia",770.455695,373.44751125,488.61737375
1871,"South.Africa",2630.86046511628,2363.41860465116,875.176906976744
1871,"South.Korea",9757.75,5951.24390243902,609.166907317073
1871,"Spain",16258,21104,1298.06864312954
1871,"Sri.Lanka",2820,2332,826.9504
1871,"Sudan",2544.3918125,958.07288625,379.57835
1871,"Swaziland",87.66121425,28.997069125,333.45219625
1871,"Sweden",4186,5886,1406.11562350693
1871,"Switzerland",2680,5964,2225.37313432836
1871,"Syria",1591.58139534884,1366.55813953488,855.640167441861
1871,"T.and.Tobago",128.8,153.31244125,886.138625
1871,"Taiwan",2352.75,1305.35483870968,552.162319354839
1871,"Tanzania",2507.6605375,487.41517,195.937345
1871,"Thailand",5819.75,3596.9,616.76503
1871,"Three.Small.Afr.",11.34605475,3.9142408,347.7680575
1871,"Togo",370.35273,97.517054125,265.4312575
1871,"Tunisia",1192.13953488372,765.093023255814,638.472509302326
1871,"Turkey",11867.5813953488,9925.88372093023,834.0046
1871,"UAE",21.272889375,137.23967875,8248.588575
1871,"UK",31685,105570.46,3331.87501972542
1871,"Uganda",1745.0316625,549.8264,317.6209375
1871,"Uruguay",354,771,2177.966
1871,"Venezuela",1675,979.215,577.665203333333
1871,"Vietnam",10732.9069767442,5524.27906976744,510.570323255814
1871,"W.Bank.and.Gaza",435.302325581395,334.860465116279,762.197153488372
1871,"X24.Sm.E.Asia",1910.76744186047,1033.44186046512,539.99026744186
1871,"Yemen",2850.32558139535,528.75437625,475.7931725
1871,"Zaire",4288.1135625,1120.7334,263.465025
1871,"Zambia",806.82043875,244.61152125,305.62359625
1871,"Zimbabwe",901.6766075,289.94378125,324.15285625
1871,"canada",3801,6668.956,1754.52670349908
1871,"usa",41098,102862,2502.8468538615
1872,"Afghanistan",4277.83720930233,696.7538075,340.5551275
1872,"Algeria",3856.04651162791,2871.86046511628,735.894465116279
1872,"Angola",1336.933575,674.748245,493.5497725
1872,"Argentina",1954,2845.0041,1394.7611
1872,"Australia",1722,6119,3553.426
1872,"Austria",4604,9098.988,1976.32232841008
1872,"Bahrain",35.179263,32.0434505,1111.555925
1872,"Bangladesh",13982.8545,3294.02994871795,284.9828075
1872,"Belgium",5178,14620.844,2823.64696794129
1872,"Benin",543.08996,282.3851025,508.47433
1872,"Bolivia",1508.4,408.519588,477.700285333333
1872,"Botswana",139.7492175,23.36953125,163.53087
1872,"Brazil",10167,7327,720.6649
1872,"Burkina.Faso",1420.879475,323.378915,222.563215
1872,"Burma",4569.4,2474.03225806452,516.471706451613
1872,"Burundi",767.0783125,132.55732,168.990825
1872,"Cambodia",2373.95348837209,285.7287325,254.5762825
1872,"Cameroon",1586.93325,510.9040025,314.832545
1872,"Cape.Verde",47.535036,10.25594855,210.989635
1872,"Central.Africa.Republic",409.0449425,151.4397625,362.049605
1872,"Chad",846.706645,193.18579,223.1215
1872,"Chile",2005.79,2705.067,1348.629
1872,"China",359978,191303.9,531.04711
1872,"Colombia",2489.7,1521.85073333333,530.20132
1872,"Comoro.Islands",48.07206625,12.924303,262.91382
1872,"Congo",268.2908325,154.250825,562.238585
1872,"Costa.Rica",147.666666666667,115.844272,501.39574
1872,"Cote.d.Ivoire",928.6960975,463.83455,488.4145275
1872,"Cuba",1352.8,827.7225,513.357169491525
1872,"Denmark",1918,4002.81,2086.97080291971
1872,"Djibouti",19.49285775,14.0260505,703.65351
1872,"Dominican.Rep.",260.2,188.081905,257.512025
1872,"Ecuador",1038.8,421.353960869565,456.617036231884
1872,"Egypt",7285.97674418605,4869.60465116279,660.50893255814
1872,"El.Salvador",510.266666666667,193.918304,368.291976
1872,"Equatorial.Guinea",68.575033,17.760636,253.274545
1872,"Eritrea.and.Ethiopia",7005.777925,1311.27455,183.0359825
1872,"Finland",1819,2082.814,1145.03243540407
1872,"France",37679,78313.038,2078.42665675841
1872,"Gabon",134.9938125,201.343305,1458.55415
1872,"Gambia",88.1097745,25.67812875,284.9956725
1872,"Germany",39691,76658.236,1931.37577788416
1872,"Ghana",1600.58139534884,734.953488372093,454.78443255814
1872,"Guatemala",1094.66666666667,403.3792,514.408868
1872,"Guinea",839.479195,122.180565,142.3283175
1872,"Guinea.Bissau",186.1322575,25.824891,135.680095
1872,"Haiti",1177.33333333333,253.248309333333,264.677486666667
1872,"Honduras",410.4,134.506592,342.929788
1872,"Hong.Kong",132.1,109.06976744186,710.663265116279
1872,"India",253834,136528.714285714,535.614842857143
1872,"Indonesia",33396.93,19158,573.6455
1872,"Iran",8534.95348837209,6279.95348837209,732.026097674419
1872,"Iraq",1628.04651162791,1204.6976744186,732.057658139535
1872,"Israel",393.98416,480.424745,1488.0777
1872,"Italy",28233,41647.4069654713,1475.1321845171
1872,"Jamaica",513.733333333333,278.255813953488,538.467969767442
1872,"Japan",34859,26005,746.0053
1872,"Jordan",269.813953488372,198.302325581395,731.159281395349
1872,"Kenya",1987.463825,620.4455925,305.28359
1872,"Kuwait",44.34902925,554.3274675,15253.204275
1872,"Laos",784.395348837209,153.27256,323.7514575
1872,"Lebanon",484.046511627907,424.046511627907,868.036920930233
1872,"Lesotho",235.7812775,40.2045285,166.74952
1872,"Liberia",267.5040775,135.38582,494.92794
1872,"Libya",312.122505,128.375135,402.2117475
1872,"Madagascar",1500.192275,684.57638,446.2456875
1872,"Malawi",914.5112075,142.19952,152.0577025
1872,"Malaysia",878.5,620.048780487805,669.246775609756
1872,"Mali",1197.33045,262.4831075,214.381
1872,"Mauritania",326.50282,72.680448,217.685545
1872,"Mauritius",156.261745,186.680775,1168.27715
1872,"Mexico",9444,6778.6,707.75532
1872,"Mongolia",670.651162790698,44.94757575,229.9864775
1872,"Morocco",3838.09302325581,2195.95348837209,569.876355813954
1872,"Mozambique",2029.433025,1103.71098,531.8384775
1872,"Namibia",150.56641,156.0314375,1013.4053
1872,"Nepal",4747.4,1919.60465116279,403.579627906977
1872,"Netherlands",3662,10146,2770.61714909885
1872,"New.Zealand",320,1127.295,3522.797
1872,"Nicaragua",346.4,124.670816,409.784516
1872,"Niger",1062.07205,314.449335,289.53142
1872,"Nigeria",10324.02845,3728.63565,353.183045
1872,"North.Korea",4528.95348837209,2796.25581395349,616.415123255814
1872,"Norway",1755,2557.6751595747,1457.36476329043
1872,"Oman",370.581395348837,40.364859,329.1136725
1872,"Pakistan",12084.2895,3329.27625641026,339.6380225
1872,"Panama",181.8,134.776397866667,488.206426666667
1872,"Paraguay",387.733333333333,182.677815942029,411.179195652174
1872,"Peru",2680,1030.01895384615,536.1735
1872,"Philippines",5204.3,3281.5,626.98949375
1872,"Portugal",4379,4179,954.327472025577
1872,"Puerto.Rico",665.933333333333,370.1694525,537.6573425
