""	"year"	"country"	"population"	"gdp"	"per_capita_gdp"
"1"	"1870"	"Austria"	"4520"	"8418.909"	"1862.5904867256638"
"2"	"1870"	"Belgium"	"5096"	"13716"	"2691.5227629513347"
"3"	"1870"	"Denmark"	"1888"	"3782"	"2003.1779661016951"
"4"	"1870"	"Finland"	"1754"	"1999"	"1139.6807297605474"
"5"	"1870"	"France"	"38440"	"72100.011"	"1875.6506503642038"
"6"	"1870"	"Germany"	"39231"	"72148.928"	"1839.0795034539012"
"7"	"1870"	"Italy"	"27888"	"41814"	"1499.354561101549"
"8"	"1870"	"Netherlands"	"3610"	"9952"	"2756.786703601108"
"9"	"1870"	"Norway"	"1735"	"2359.8490271565"	"1360.1435315023057"
"10"	"1870"	"Portugal"	"4327"	"4219"	"975.040443725445"
"11"	"1870"	"Spain"	"16201"	"19556"	"1207.08598234677"
"12"	"1870"	"Sweden"	"4164"	"5659"	"1359.0297790585973"
"13"	"1870"	"Switzerland"	"2655"	"5581"	"2102.0715630885124"
"14"	"1870"	"UK"	"31400"	"100179.62800000001"	"3190.4340127388537"
"15"	"1871"	"Austria"	"4562"	"9028.635"	"1979.0957913195969"
"16"	"1871"	"Belgium"	"5137"	"13779.822"	"2682.4648627603656"
"17"	"1871"	"Denmark"	"1903"	"3792.75"	"1993.037309511298"
"18"	"1871"	"Finland"	"1786"	"2012.535"	"1126.8393057110864"
"19"	"1871"	"France"	"37731"	"71666.54400000001"	"1899.4074898624476"
"20"	"1871"	"Germany"	"39456"	"71674.264"	"1816.5618410381182"
"21"	"1871"	"Italy"	"28063"	"42272.29742691773"	"1506.3356528852128"
"22"	"1871"	"Netherlands"	"3636"	"9942"	"2734.3234323432343"
"23"	"1871"	"Norway"	"1745"	"2401.2741574492"	"1376.0883423777652"
"24"	"1871"	"Portugal"	"4353"	"4061"	"932.919825407765"
"25"	"1871"	"Spain"	"16258"	"21104"	"1298.06864312954"
"26"	"1871"	"Sweden"	"4186"	"5886"	"1406.115623506928"
"27"	"1871"	"Switzerland"	"2680"	"5964"	"2225.373134328358"
"28"	"1871"	"UK"	"31685"	"105570.46"	"3331.875019725422"
"29"	"1872"	"Austria"	"4604"	"9098.988"	"1976.3223284100782"
"30"	"1872"	"Belgium"	"5178"	"14620.844000000001"	"2823.6469679412903"
"31"	"1872"	"Denmark"	"1918"	"4002.81"	"2086.970802919708"
"32"	"1872"	"Finland"	"1819"	"2082.8140000000003"	"1145.0324354040683"
"33"	"1872"	"France"	"37679"	"78313.038"	"2078.426656758407"
"34"	"1872"	"Germany"	"39691"	"76658.23599999999"	"1931.375777884155"
"35"	"1872"	"Italy"	"28233"	"41647.40696547131"	"1475.1321845171008"
"36"	"1872"	"Netherlands"	"3662"	"10146"	"2770.617149098853"
"37"	"1872"	"Norway"	"1755"	"2557.6751595747"	"1457.3647632904274"
"38"	"1872"	"Portugal"	"4379"	"4179"	"954.327472025577"
"39"	"1872"	"Spain"	"16315"	"24034"	"1473.12289304321"
"40"	"1872"	"Sweden"	"4227"	"6108"	"1444.9964513839602"
"41"	"1872"	"Switzerland"	"2697"	"5684"	"2107.52688172043"
"42"	"1872"	"UK"	"31874"	"105795.07800000001"	"3319.1654012674912"
"43"	"1873"	"Austria"	"4646"	"8887.929"	"1913.0281962978909"
"44"	"1873"	"Belgium"	"5219"	"14717.885"	"2820.0584403142366"
"45"	"1873"	"Denmark"	"1935"	"3979.47"	"2056.5736434108526"
"46"	"1873"	"Finland"	"1847"	"2204.205"	"1193.3974011911205"
"47"	"1873"	"France"	"37887"	"72822.45599999999"	"1922.0961279594583"
"48"	"1873"	"Germany"	"40017"	"79980.884"	"1998.6726641177502"
"49"	"1873"	"Italy"	"28387"	"43274.15339439703"	"1524.4356006058065"
"50"	"1873"	"Netherlands"	"3670"	"10472"	"2853.4059945504086"
"51"	"1873"	"Norway"	"1767"	"2618.0067500752"	"1481.6110639927563"
"52"	"1873"	"Portugal"	"4405"	"4353"	"988.195232690125"
"53"	"1873"	"Spain"	"16372"	"26156"	"1597.60566821402"
"54"	"1873"	"Sweden"	"4274"	"6202"	"1451.0996724379972"
"55"	"1873"	"Switzerland"	"2715"	"5844"	"2152.486187845304"
"56"	"1873"	"UK"	"32177"	"108265.87600000002"	"3364.6976411722662"
"57"	"1874"	"Austria"	"4688"	"9286.596"	"1980.929180887372"
"58"	"1874"	"Belgium"	"5261"	"15203.09"	"2889.7719064816574"
"59"	"1874"	"Denmark"	"1954"	"4096.17"	"2096.299897645855"
"60"	"1874"	"Finland"	"1873"	"2255.317"	"1204.120128136679"
"61"	"1874"	"France"	"38044"	"82069.752"	"2157.2324676690146"
"62"	"1874"	"Germany"	"40450"	"85914.18400000001"	"2123.9600494437577"
"63"	"1874"	"Italy"	"28505"	"43130.42119689149"	"1513.0826590735483"
"64"	"1874"	"Netherlands"	"3745"	"10213"	"2727.1028037383176"
