""	"year"	"country"	"population"	"gdp"	"per_capita_gdp"
"96"	"1917"	"usa"	"103817"	"103817"	"103817"
"97"	"1918"	"canada"	"8374"	"8374"	"8374"
"98"	"1918"	"usa"	"104958"	"104958"	"104958"
"99"	"1919"	"canada"	"8548"	"8548"	"8548"
"100"	"1919"	"usa"	"105473"	"105473"	"105473"
"101"	"1920"	"canada"	"8798"	"8798"	"8798"
"102"	"1920"	"usa"	"106881"	"106881"	"106881"
"103"	"1921"	"canada"	"9028"	"9028"	"9028"
"104"	"1921"	"usa"	"108964"	"108964"	"108964"
"105"	"1922"	"canada"	"9159"	"9159"	"9159"
"106"	"1922"	"usa"	"110484"	"110484"	"110484"
"107"	"1923"	"canada"	"9256"	"9256"	"9256"
"108"	"1923"	"usa"	"112387"	"112387"	"112387"
"109"	"1924"	"canada"	"9394"	"9394"	"9394"
"110"	"1924"	"usa"	"114558"	"114558"	"114558"
"111"	"1925"	"canada"	"9549"	"9549"	"9549"
"112"	"1925"	"usa"	"116284"	"116284"	"116284"
"113"	"1926"	"canada"	"9713"	"9713"	"9713"
"114"	"1926"	"usa"	"117857"	"117857"	"117857"
"115"	"1927"	"canada"	"9905"	"9905"	"9905"
"116"	"1927"	"usa"	"119502"	"119502"	"119502"
"117"	"1928"	"canada"	"10107"	"10107"	"10107"
"118"	"1928"	"usa"	"120971"	"120971"	"120971"
"119"	"1929"	"canada"	"10305"	"10305"	"10305"
"120"	"1929"	"usa"	"122245"	"122245"	"122245"
"121"	"1930"	"canada"	"10488"	"10488"	"10488"
"122"	"1930"	"usa"	"123668"	"123668"	"123668"
"123"	"1931"	"canada"	"10657"	"10657"	"10657"
"124"	"1931"	"usa"	"124633"	"124633"	"124633"
"125"	"1932"	"canada"	"10794"	"10794"	"10794"
"126"	"1932"	"usa"	"125436"	"125436"	"125436"
"127"	"1933"	"canada"	"10919"	"10919"	"10919"
"128"	"1933"	"usa"	"126180"	"126180"	"126180"
"129"	"1934"	"canada"	"11030"	"11030"	"11030"
"130"	"1934"	"usa"	"126978"	"126978"	"126978"
"131"	"1935"	"canada"	"11136"	"11136"	"11136"
"132"	"1935"	"usa"	"127859"	"127859"	"127859"
"133"	"1936"	"canada"	"11243"	"11243"	"11243"
"134"	"1936"	"usa"	"128681"	"128681"	"128681"
"135"	"1937"	"canada"	"11341"	"11341"	"11341"
"136"	"1937"	"usa"	"129464"	"129464"	"129464"
"137"	"1938"	"canada"	"11452"	"11452"	"11452"
"138"	"1938"	"usa"	"130476"	"130476"	"130476"
"139"	"1939"	"canada"	"11570"	"11570"	"11570"
"140"	"1939"	"usa"	"131539"	"131539"	"131539"
"141"	"1940"	"canada"	"11688"	"11688"	"11688"
"142"	"1940"	"usa"	"132637"	"132637"	"132637"
"143"	"1941"	"canada"	"11818"	"11818"	"11818"
"144"	"1941"	"usa"	"133922"	"133922"	"133922"
"145"	"1942"	"canada"	"11969"	"11969"	"11969"
"146"	"1942"	"usa"	"135386"	"135386"	"135386"
"147"	"1943"	"canada"	"12115"	"12115"	"12115"
"148"	"1943"	"usa"	"137272"	"137272"	"137272"
"149"	"1944"	"canada"	"12268"	"12268"	"12268"
"150"	"1944"	"usa"	"138937"	"138937"	"138937"
"151"	"1945"	"canada"	"12404"	"12404"	"12404"
"152"	"1945"	"usa"	"140474"	"140474"	"140474"
"153"	"1946"	"canada"	"12634"	"12634"	"12634"
"154"	"1946"	"usa"	"141940"	"141940"	"141940"
"155"	"1947"	"canada"	"12901"	"12901"	"12901"
"156"	"1947"	"usa"	"144688"	"144688"	"144688"
"157"	"1948"	"canada"	"13180"	"13180"	"13180"
"158"	"1948"	"usa"	"147203"	"147203"	"147203"
"159"	"1949"	"canada"	"13469"	"13469"	"13469"
"160"	"1949"	"usa"	"149770"	"149770"	"149770"
"161"	"1950"	"canada"	"14011.422"	"14011.422"	"14011.422"
"162"	"1950"	"usa"	"152271"	"152271"	"152271"
"163"	"1951"	"canada"	"14330.675"	"14330.675"	"14330.675"
"164"	"1951"	"usa"	"154878"	"154878"	"154878"
"165"	"1952"	"canada"	"14785.584"	"14785.584"	"14785.584"
"166"	"1952"	"usa"	"157553"	"157553"	"157553"
"167"	"1953"	"canada"	"15183.375"	"15183.375"	"15183.375"
"168"	"1953"	"usa"	"160184"	"160184"	"160184"
"169"	"1954"	"canada"	"15636.245"	"15636.245"	"15636.245"
"170"	"1954"	"usa"	"163026"	"163026"	"163026"
"171"	"1955"	"canada"	"16050.356"	"16050.356"	"16050.356"
"172"	"1955"	"usa"	"165931"	"165931"	"165931"
"173"	"1956"	"canada"	"16445.087"	"16445.087"	"16445.087"
"174"	"1956"	"usa"	"168903"	"168903"	"168903"
"175"	"1957"	"canada"	"17010.154"	"17010.154"	"17010.154"
"176"	"1957"	"usa"	"171984"	"171984"	"171984"
"177"	"1958"	"canada"	"17462.004"	"17462.004"	"17462.004"
"178"	"1958"	"usa"	"174882"	"174882"	"174882"
"179"	"1959"	"canada"	"17872.034"	"17872.034"	"17872.034"
"180"	"1959"	"usa"	"177830"	"177830"	"177830"
"181"	"1960"	"canada"	"18266.765"	"18266.765"	"18266.765"
"182"	"1960"	"usa"	"180671"	"180671"	"180671"
"183"	"1961"	"canada"	"18634.977"	"18634.977"	"18634.977"
"184"	"1961"	"usa"	"183691"	"183691"	"183691"
"185"	"1962"	"canada"	"18985.849"	"18985.849"	"18985.849"
"186"	"1962"	"usa"	"186538"	"186538"	"186538"
"187"	"1963"	"canada"	"19342.841"	"19342.841"	"19342.841"
"188"	"1963"	"usa"	"189242"	"189242"	"189242"
"189"	"1964"	"canada"	"19711.053"	"19711.053"	"19711.053"
"190"	"1964"	"usa"	"191889"	"191889"	"191889"
"191"	"1965"	"canada"	"20071.104"	"20071.104"	"20071.104"
"192"	"1965"	"usa"	"194303"	"194303"	"194303"
"193"	"1966"	"canada"	"20448.496"	"20448.496"	"20448.496"
"194"	"1966"	"usa"	"196560"	"196560"	"196560"
"195"	"1967"	"canada"	"20819.767"	"20819.767"	"20819.767"
"196"	"1967"	"usa"	"198712"	"198712"	"198712"
"197"	"1968"	"canada"	"21143.1"	"21143.1"	"21143.1"
"198"	"1968"	"usa"	"200706"	"200706"	"200706"
"199"	"1969"	"canada"	"21448.073"	"21448.073"	"21448.073"
"200"	"1969"	"usa"	"202677"	"202677"	"202677"
"201"	"1970"	"canada"	"21749.986"	"21749.986"	"21749.986"
